FID,OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
0,1000,10422146,GERMANTOWN MINOR MEDICAL,901-754-8880,2018 SOUTH GERMANTOWN ROAD, ,GERMANTOWN,TN,38138,2844,SHELBY,47157,"LOC ON THE SOUTHEAST SIDE OF S GERMANSTOWN RD, APPR .1 MILES NORTHEAST OF W POPLAR AVE.", , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24932292,-89.8071784,35.0940524,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3332
1,1045,11513132,WICKMAN FAMILY MEDICAL CARE,901-377-3001,8485 UNITED STATES HIGHWAY 64, ,MEMPHIS,TN,38133, ,SHELBY,47157,"LOC ON THE SOUTH SIDE OF US-64, APPR .1 MILES WEST OF NEW BRUNSWICK RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",27836158,-89.7792558,35.203563,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
2,1059,10468047,BAPTIST MEMORIAL HEALTH CARE MINOR MEDICAL CENTER - MEMPHIS,901-327-8188,3295 POPLAR AVENUE,SUITE 105,MEMPHIS,TN,38111,4690,SHELBY,47157,"LOC ON THE SOUTH SIDE OF POPLAR AVE, BETWEEN S HOLMES ST & PALISADE ST.", , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24943924,-89.9524379,35.1291921,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3,1252,10470877,UNION CITY URGENT CARE,731-885-8282,1229 SOUTH 1ST STREET, ,UNION CITY,TN,38261,5014,OBION,47131,ON THE W SIDE OF S 1ST ST BETWEEN E REELFOOT AVE AND E WADE ST., , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91110021,-89.0583289,36.4156973,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4,1293,11513126,LE BONHEUR URGENT CARE CENTER - CORDOVA,901-758-6000,8035 CLUB PARKWAY, ,CORDOVA,TN,38016,5977,SHELBY,47157,LOC ON THE NORTHEAST CORNER OF THE INTERSECTION OF COUNTRY VILLAGE DR & N GERMANTOWN PKY., , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24923264,-89.7941923,35.1614831,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
5,1409,10470882,LE BONHEUR URGENT CARE CENTER - EAST MEMPHIS,901-287-4000,806 ESTATE PLACE, ,MEMPHIS,TN,38120,0600,SHELBY,47157,ON THE NE CORNER OF THE INTERSECTION OF ESTATE PL AND POPLAR AVE AND, , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24925886,-89.8839,35.1082244,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
6,1437,10844079,CONCENTRA URGENT CARE - MEMPHIS SOUTHEAST,901-365-1800,3965 SOUTH MENDENHALL ROAD,BUILDING G SUITE 6,MEMPHIS,TN,38115,5914,SHELBY,47157,LOC ON THE SOUTHWEST CORNER OF THE INTERSECTION OF SHARP PLAZA BLVD & S MENDENHALL RD., , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24929714,-89.8859953,35.0401833,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
7,1446,11513130,METHODIST MINOR MEDICAL CENTER - HACKS CROSS,901-756-6056,8071 WINCHESTER ROAD, ,MEMPHIS,TN,38125,8206,SHELBY,47157,"LOC ON THE SOUTH SIDE OF WINCHESTER RD, LESS THAN .1 MILES EAST OF HACKS CROSS RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",126842715,-89.794055,35.0475346,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
8,1474,10422154,ROSSVILLE HEALTH CENTER,901-261-7303,4940 STATE HIGHWAY 57, ,ROSSVILLE,TN,38066, ,FAYETTE,47047,LOCATED AT THE SE CORNER OF ST HWY 57 AND KNOX ROAD., , , ,2008-01-25T00:00:00.000Z,PHONE,2008-01-25T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",99868227,-89.5571237,35.0421698,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_3368
9,1571,10194184,URGENT CARE CLINIC,731-285-2212,1950 COOK STREET,SUITE A,DYERSBURG,TN,38024,1899,DYER,47045,"LOCATED ON THE NORTHWEST SIDE OF US-51-BYP, BETWEEN COOK ST AND FLOWERING DOGWOOD LN.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98847169,-89.4045498,36.0525284,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3331
10,1575,11531135,DYERSBURG FAMILY WALK IN CLINIC,731-285-6110,2017 SAINT JOHN AVENUE,SUITE B,DYERSBURG,TN,38024,2209,DYER,47045,"LOCATED ON THE NORTHWEST SIDE OF ST JOHN AVE, BETWEEN LINDEN RD AND CROSSGATE RD.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91102656,-89.3570821,36.0575815,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
11,1589,11521672,METHODIST MINOR MEDICAL CENTER - MIDTOWN,901-722-3152,1803 UNION AVENUE,SUITE 1,MEMPHIS,TN,38104,3910,SHELBY,47157,SOUTHEAST CORNER OF THE INTERSECTION OF UNION AVE AND S IDLEWILD ST, , , ,2009-03-17T00:00:00.000Z,PHONE,2009-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24908892,-90.0013861,35.1348803,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
12,1616,10844080,CONCENTRA URGENT CARE - MEMPHIS PRESIDENTS ISLAND,901-946-1636,1005 HARBOR AVENUE, ,MEMPHIS,TN,38113, ,SHELBY,47157,"LOC ON THE SOUTHWEST CORNER OF THE THREE-WAY INTERSECTION OF HARBOR AVE, JACK CARLEY CSWY, & CHANNEL AVE.", , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24911025,-90.0885794,35.1081599,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
13,1680,11513129,METHODIST MINOR MEDICAL CENTER - CORDOVA,901-758-6035,8045 CLUB PARKWAY, ,CORDOVA,TN,38016,5977,SHELBY,47157,"LOC ON THE EAST SIDE OF N GERMANTOWN PKY, LESS THAN .1 MILES NORTH OF COUNTRY VILLAGE DR.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24923264,-89.7941427,35.1616993,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
14,1720,10843899,CONCENTRA URGENT CARE - MEMPHIS AIRPORT,901-348-0200,2831 AIRWAYS BOULEVARD,BUILDING A SUITE 102,MEMPHIS,TN,38132,1106,SHELBY,47157,"LOC ON THE NORTHWEST SIDE OF AIRWAYS BLVD, APPR .1 MILES SOUTHWEST OF DEMOCRAT RD.", , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24928223,-89.9891538,35.0671342,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
15,1785,10844542,BAPTIST MEMORIAL HEALTH CARE MINOR MEDICAL CENTER - BARTLETT,901-385-7817,7424 UNITED STATES HIGHWAY 64,SUITE 111,BARTLETT,TN,38133, ,SHELBY,47157,LOC ON THE NORTHWEST CORNER OF THE INTERSECTION OF US-64 & BROTHER BLVD., , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24947139,-89.8159246,35.2055574,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
16,1843,10192850,QUICKCARE URGENT CARE STATION,901-545-6580,880 MADISON AVENUE, ,MEMPHIS,TN,38103,3409,SHELBY,47157,"LOCATED ON NORTH SIDE OF MADISON AVE, BETWEEN NORTH DUNLAP ST AND HOSPITAL ST", , , ,2006-12-18T00:00:00.000Z,PHONE,2008-10-02T00:00:00.000Z,ADJUSTED,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24969306,-90.0323439,35.140712,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_3362
17,1874,10468040,BAPTIST MEMORIAL HEALTH CARE MINOR MEDICAL CENTER - CORDOVA,901-753-7686,584 NORTH GERMANTOWN PARKWAY, ,CORDOVA,TN,38018,5211,SHELBY,47157,LOC ON THE SOUTHEAST CORNER OF THE INTERSECTION OF TRINITY RD & N GERMANTOWN PKY., , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24923938,-89.7937895,35.1411811,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
18,1952,11513123,LE BONHEUR URGENT CARE CENTER - MEMPHIS,901-759-2030,8071 WINCHESTER ROAD, ,MEMPHIS,TN,38125,8206,SHELBY,47157,"LOC ON THE SOUTH SIDE OF WINCHESTER RD, LESS THAN .1 MILES EAST OF HACKS CROSS RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",126842715,-89.7940531,35.047533,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
19,4001,11513140,FARRAGUT WALK-IN CLINIC,865-671-6026,11408 KINGSTON PIKE, ,KNOXVILLE,TN,37934,3975,KNOX,47093,"LOC ON THE SOUTHEAST SIDE OF KINGSTON PIKE, APPR .1 MILES SOUTHWEST OF S CAMPBELL STATION RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24657452,-84.1615717,35.8801188,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
20,4010,11513134,DOCTORS CARE - KNOXVILLE,865-675-3311,101 GLENLEIGH COURT, ,KNOXVILLE,TN,37934,3052,KNOX,47093,LOC ON THE SOUTH CORNER OF THE T-INTERSECTION OF KINGSTON PIKE & GLENLEIGH CT., , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24658080,-84.1440084,35.8917447,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
21,4020,10425865,TENNESSEE URGENT CARE ASSOCIATES - ANTIOCH FACILITY,615-399-6898,2553 MURFREESBORO PIKE, ,NASHVILLE,TN,37217,3547,DAVIDSON,47037,LOCATED AT THE SOUTH CORNER OF DOVER GLEN DRIVE AND MURFREESBORO PIKE., , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31401939,-86.6410982,36.0765014,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
22,4065,10422148,PARK MED URGENT CARE CENTER - FORKS OF THE RIVER,865-637-7962,2725 EAST GOVERNOR JOHN SEVIER HIGHWAY, ,KNOXVILLE,TN,37914,6620,KNOX,47093,SOUTHEAST CORNER OF THE INTERSECTION OF EAST GOVERNOR JOHN SEVIER HIGHWAY AND E NATIONAL DRIVE, , , ,2008-01-28T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24648151,-83.8226144,35.9597923,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_3340
23,4073,10192165,MEDICAL ASSISTANT PRIMARY AND URGENT CARE CLINIC,615-907-0123,951 NEW SALEM HIGHWAY, ,MURFREESBORO,TN,37129,3337,RUTHERFORD,47149,SOUTHEAST SIDE OF NEW SALEM HWY APROX .11 MILES NORTHEAST OF MIDDLE TENNESSEE BLVD, , , ,2006-12-19T00:00:00.000Z,PHONE,2006-12-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124172091,-86.4096399,35.8354688,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_3365
24,4075,10422155,CONVENIENT CARE CLINIC,931-526-1050,350 SOUTH LOWE AVENUE,SUITE A,COOKEVILLE,TN,38501,4721,PUTNAM,47141,EAST SIDE OF S LOWE AVE BETWEEN BARON CIR AND E JACKSON STREET, , , ,2008-01-28T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123919574,-85.499028,36.1550583,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_3369
25,4128,10468049,AMERICAS FAMILY DOCTORS WALK-IN CLINIC OF SMYRNA,615-373-2000,515 STONECREST PARKWAY,SUITE 100,SMYRNA,TN,37167,6827,RUTHERFORD,47149,ON THE W SIDE OF STONECREST PKY BETWEEN ROCK SPRINGS RD AND CEDAR GROVE RD., , , ,2008-03-14T00:00:00.000Z,PHONE,2008-03-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124175884,-86.5630939,35.9754476,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
26,4133,10194183,AMERICAS FAMILY DOCTORS WALK-IN CLINIC OF BRENTWOOD,615-373-2000,1195 OLD HICKORY BOULEVARD,SUITE 103,BRENTWOOD,TN,37027,4239,DAVIDSON,47037,LOC ON THE SOUTHEAST CORNER OF THE INTERSECTION OF OLD HICKORY BLVD & GRANNY WHITE PIKE., , , ,2009-02-03T00:00:00.000Z,PHONE,2009-02-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31418490,-86.815758,36.0395494,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3325
27,4162,11241522,SUMMIT EXPRESS CLINIC - DEANE HILL,865-558-9822,7211 WELLINGTON DRIVE, ,KNOXVILLE,TN,37919,5968,KNOX,47093,"LOC ON THE NORTHEAST SIDE OF WELLINGTON DR, APPR .1 MILES SOUTH OF KINGSTON PIKE.", , , ,2009-02-05T00:00:00.000Z,PHONE,2009-02-05T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24649171,-84.0256771,35.929565,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
28,4199,11531105,BRADLEY URGENT CARE,423-476-2464,104 STUART ROAD NORTHEAST, ,CLEVELAND,TN,37312,4803,BRADLEY,47011,LOCATED ON THE SOUTH CORNER OF STUART RD NE AND KEITH ST NW., , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98767559,-84.8456753,35.1998892,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
29,4220,11531136,WINCHESTER URGENT CARE,931-967-1514,2204 COWAN HIGHWAY, ,WINCHESTER,TN,37398,2627,FRANKLIN,47051,"LOCATED ON THE SOUTHWEST SIDE OF COWAN HWY, .3 MILES SOUTHEAST OF BYPASS RD.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124177554,-86.0769871,35.1728029,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
30,4229,11531158,EAST WOOD CLINIC - PARIS URGENT CARE,731-644-9362,1323 EAST WOOD STREET, ,PARIS,TN,38242,4421,HENRY,47079,LOCATED ON THE E CORNER OF E WOOD ST AND JANE ST, , , ,2009-04-30T00:00:00.000Z,PHONE,2009-04-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91114389,-88.2966078,36.3080376,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
31,4231,11531162,PHYSICIANS MEDICAL,931-297-5028,2893 HUNTSVILLE HIGHWAY, ,FAYETTEVILLE,TN,37334,6681,LINCOLN,47103,"LOCATED ON THE WEST SIDE OF US-231, .2 MILES SOUTH OF AIRPORT RD.", , , ,2009-04-30T00:00:00.000Z,PHONE,2009-04-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91121246,-86.5738555,35.0566764,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
